요소,효과_1to5,난이도_1to5,사분면,우선순위,적용권역,판단근거
그늘막·쿨링포그,5,2,고효과·저난이도,1순위 즉시,R1,R1 건물밀도 1256.1동/km2로 최고이나 녹지 여유 없음 — 폭염 체감 완화에 즉효
환경센서(미세먼지·폭염),4,1,고효과·저난이도,1순위 즉시,전권역,설치·운영 부담이 가장 작고 이후 모든 운영 판단의 데이터 전제가 됨
스마트벤치(태양광충전·WiFi),4,2,고효과·저난이도,1순위 즉시,R1-R2,R1 상업·업무 866동 집중 — 주간 체류 수요가 이미 존재
스마트가로등(조도 자동제어),4,3,고효과·중난이도,2순위 단기,R2-R3,야간 보행안전 효과가 크나 전력 인입·기존 등주 교체가 필요
안전CCTV·비상벨,4,3,고효과·중난이도,2순위 단기,R3,R3는 주거 551동으로 주거 비중이 상대적으로 높아 야간 안전 수요가 큼
스마트 음수대,3,2,중효과·저난이도,3순위 보완,R1,폭염기 체류 지원 — 급수 배관이 있는 기존 공원에 한해 용이
공공 와이파이,3,2,중효과·저난이도,3순위 보완,R1-R2,체류시간 연장 효과 — 기존 통신망 활용 가능
보행량 센서,3,2,중효과·저난이도,3순위 보완,전권역,이용량 실측으로 후속 투자 근거 확보 — 단독 체감효과는 낮음
스마트 쓰레기통(적재감지),2,2,중효과·저난이도,3순위 보완,R1,수거 효율·미관 개선이나 이용자 체감 범위가 제한적
실시간 이용정보 사이니지·앱,3,4,중효과·고난이도,4순위 장기,R1,운영 주체와 콘텐츠 유지 부담이 지속 발생
자동 관수 시스템,2,3,중효과·중난이도,4순위 장기,R2-R3,관리인력 절감 효과는 있으나 이용자 체감도가 낮음
투수포장·빗물저류,5,5,고효과·고난이도,4순위 장기,전권역,열섬·침수 동시 대응으로 효과는 최상이나 토목공사와 예산이 수반됨
