"순위","구분","요소","영역","부족 기능","측정요소","효과(1-5)","효과 근거","난이도(1-5)","난이도 근거","대상지","대상지 면적_m2","종로구청까지_m","주변500m_건물밀도","3km평균_대비","출처","조회일"
"1","1순위 · 바로 도입","보행자 자동 계수(비영상)","도로·광장","형평적 접근·운영","시간대별 이용자 수","4","기본 3 +1(주변 밀도 2.12배)","2","배터리형 적외선·레이더 계수기라 전원·통신 부담 작음. 영상 계수는 개인정보 검토가 필요해 제외","열린송현 녹지광장","33917","413","1420.9","2.12","설계요소: 2주차 강의자료 49·50·52쪽 / 공원: Overpass API (OpenStreetMap) leisure=park (OSM 기준 2026-06-01) / 건물: https://overpass.kumi.systems/api/interpreter","2026-09-14"
"2","1순위 · 바로 도입","토양 센서·관수 모니터링","녹지","물·에너지 효율","토양 수분·관수량","4","기본 3 +1(면적 33,917m²)","2","저전력 무선 센서라 배터리로 수년 운용","열린송현 녹지광장","33917","413","1420.9","2.12","설계요소: 2주차 강의자료 49·50·52쪽 / 공원: Overpass API (OpenStreetMap) leisure=park (OSM 기준 2026-06-01) / 건물: https://overpass.kumi.systems/api/interpreter","2026-09-14"
"3","1순위 · 바로 도입","데이터 플랫폼(공유 폴더 수준)","설계 방법","운영·유지","센서값 누적·공개","4","기본 4","2","허브가 아니라 팀 공유 폴더 하나로 시작(슬라이드 54) — 과거 이용 데이터가 없는 약점을 메움","열린송현 녹지광장","33917","413","1420.9","2.12","설계요소: 2주차 강의자료 49·50·52쪽 / 공원: Overpass API (OpenStreetMap) leisure=park (OSM 기준 2026-06-01) / 건물: https://overpass.kumi.systems/api/interpreter","2026-09-14"
"4","1순위 · 바로 도입","스마트 벤치(태양광 충전·환경센서)","조경시설물","건강·휴게","이용 횟수·기온·미세먼지","3","기본 2 +1(주변 밀도 2.12배)","2","자가발전형이라 배선 공사가 없음","열린송현 녹지광장","33917","413","1420.9","2.12","설계요소: 2주차 강의자료 49·50·52쪽 / 공원: Overpass API (OpenStreetMap) leisure=park (OSM 기준 2026-06-01) / 건물: https://overpass.kumi.systems/api/interpreter","2026-09-14"
"5","1순위 · 바로 도입","스마트 쓰레기통(적재량 센서)","조경시설물","운영·유지","적재율·수거 주기","3","기본 2 +1(주변 밀도 2.12배)","2","태양광 압축형으로 단독 설치 가능, 수거 주체만 정하면 됨","열린송현 녹지광장","33917","413","1420.9","2.12","설계요소: 2주차 강의자료 49·50·52쪽 / 공원: Overpass API (OpenStreetMap) leisure=park (OSM 기준 2026-06-01) / 건물: https://overpass.kumi.systems/api/interpreter","2026-09-14"
"6","2순위 · 단계 도입","스마트 조명(가로등·볼라드)","도로·광장","안전","야간 조도·점등 시간","4","기본 3 +1(주변 밀도 2.12배)","3","기존 가로등 교체라 전원은 있으나 제어 통신망이 필요","열린송현 녹지광장","33917","413","1420.9","2.12","설계요소: 2주차 강의자료 49·50·52쪽 / 공원: Overpass API (OpenStreetMap) leisure=park (OSM 기준 2026-06-01) / 건물: https://overpass.kumi.systems/api/interpreter","2026-09-14"
"7","2순위 · 단계 도입","우수 관리 모니터링","수경시설","회복탄력성","우수 유입·저류 수위","3","기본 2 +1(면적 33,917m²)","3","배수 설비와 연계 공사가 필요","열린송현 녹지광장","33917","413","1420.9","2.12","설계요소: 2주차 강의자료 49·50·52쪽 / 공원: Overpass API (OpenStreetMap) leisure=park (OSM 기준 2026-06-01) / 건물: https://overpass.kumi.systems/api/interpreter","2026-09-14"
"8","2순위 · 단계 도입","스마트 음수대","조경시설물","건강","급수량·수질","3","기본 2 +1(주변 밀도 2.12배)","3","급수 배관과 수질 관리가 필요","열린송현 녹지광장","33917","413","1420.9","2.12","설계요소: 2주차 강의자료 49·50·52쪽 / 공원: Overpass API (OpenStreetMap) leisure=park (OSM 기준 2026-06-01) / 건물: https://overpass.kumi.systems/api/interpreter","2026-09-14"
"9","2순위 · 단계 도입","스마트 안내 표지(디지털 사이니지)","조경시설물","형평적 접근","조회 수·안내 문의","3","기본 2 +1(주변 밀도 2.12배)","4","상시 전원·통신과 콘텐츠를 갱신할 운영 인력이 필요 — 약점(운영 인력 없음)과 충돌","열린송현 녹지광장","33917","413","1420.9","2.12","설계요소: 2주차 강의자료 49·50·52쪽 / 공원: Overpass API (OpenStreetMap) leisure=park (OSM 기준 2026-06-01) / 건물: https://overpass.kumi.systems/api/interpreter","2026-09-14"
"10","4순위 · 보류","미디어 파사드","도로·광장","문화·체류","체류 시간","2","기본 1 +1(주변 밀도 2.12배)","5","대형 설비·전력·콘텐츠 운영비가 큼, 제품 사양 발주 시 교체 종속 위협","열린송현 녹지광장","33917","413","1420.9","2.12","설계요소: 2주차 강의자료 49·50·52쪽 / 공원: Overpass API (OpenStreetMap) leisure=park (OSM 기준 2026-06-01) / 건물: https://overpass.kumi.systems/api/interpreter","2026-09-14"
"11","4순위 · 보류","스마트 주차장","조경시설물","접근","주차 회전율","1","기본 1","4","도심 공원은 대중교통 접근이 주라 부지·공사 대비 효과 작음","열린송현 녹지광장","33917","413","1420.9","2.12","설계요소: 2주차 강의자료 49·50·52쪽 / 공원: Overpass API (OpenStreetMap) leisure=park (OSM 기준 2026-06-01) / 건물: https://overpass.kumi.systems/api/interpreter","2026-09-14"
