# 스마트공원 요소 우선순위표 (효과 × 난이도) · 대상지 종로구청 반경 5km
"# 출처: OpenStreetMap · Overpass API 조회 2026.09.14 (OSM 기준일 2026.09.14) · 중심 종로구청 37.5735, 126.9788 · 분류 기준 building 태그(building=yes는 미분류) · 표 원본 CSV 동봉"
# 효과: 이용자 체감·정책 기여도 5점 척도 / 난이도: 예산·공사 규모·관계기관 협의 5점 척도
번호,요소,효과(1-5),난이도(1-5),점수(효과-난이도),구분,대상지 근거
3,쿨링포그·스마트 그늘막,5,2,3,즉시 추진,"0–1km 건물밀도 1,263동/km²의 고밀 도심, 열섬·폭염 대응"
2,안전 CCTV·비상벨,5,3,2,전략 과제,관광객·유동인구 집중 구간의 야간 안전 확보
1,스마트 가로등(조도 자동제어),4,2,2,즉시 추진,"야간 보행·관광 동선이 많은 도심, 기존 가로등 교체로 적용 가능"
4,환경 센서(미세먼지·소음·폭염),4,2,2,즉시 추진,"공원 운영 근거 데이터 확보, 설치 단가 낮음"
5,보행·이용자 카운터,4,2,2,즉시 추진,"OSM 용도 기재율이 25.6%에 그쳐, 이용 실태는 직접 계측해야 함"
6,공공 와이파이,3,1,2,여력 시 추진,이미 서울시 표준 사업이 있어 확장만 하면 됨
7,스마트 벤치(태양광 충전),3,2,1,여력 시 추진,"관광 체류시간이 긴 고궁 주변에 효과, 단가는 높은 편"
12,공원 운영 디지털트윈,5,5,0,전략 과제,"①②의 센서 데이터를 통합해야 성립, 예산·조직 개편 필요"
10,스마트 화장실(재실·청결 관리),4,4,0,전략 과제,"관광지 민원 1순위, 급배수·구조 공사가 동반됨"
8,스마트 관수(토양수분 연동),3,3,0,후순위,녹지 면적이 2–3km 권역에 몰려 있어 도심 공원에서는 효과 제한
11,빗물 저류·스마트 배수,4,5,-1,전략 과제,"청계천 등 하천 인접 저지대 침수 대응, 토목 공사 규모 큼"
9,다국어·AR 관광 안내,3,4,-1,후순위,외국인 관광객 수요는 있으나 콘텐츠 제작·유지비가 큼
